X,Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day,Duration,Campaign,pDays,Previous,pOutcome,EmpVarRate,ConsPriceIdx,ConsConfIndx,Euribor3M,NREmployed,Subscribed
20010,33,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,57,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
21696,35,technician,married,professional.course,no,yes,no,cellular,aug,tue,105,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
23918,34,admin.,married,university.degree,no,yes,no,cellular,aug,fri,76,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
12221,40,admin.,divorced,professional.course,unknown,no,no,telephone,jul,thu,343,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
7963,45,management,divorced,university.degree,no,no,no,telephone,jun,mon,572,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
20098,33,admin.,single,university.degree,no,yes,no,cellular,aug,mon,172,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
12013,36,blue-collar,married,high.school,no,no,no,telephone,jun,thu,197,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no
37878,29,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,121,12,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2,no
19953,35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,494,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
36592,51,unemployed,married,basic.6y,no,yes,no,cellular,jun,thu,79,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,no
12333,57,admin.,single,university.degree,unknown,no,no,telephone,jul,fri,80,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
19107,52,services,divorced,basic.6y,no,yes,no,cellular,aug,tue,683,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
34032,40,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,76,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
33064,28,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,163,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
1692,31,technician,married,professional.course,no,no,no,telephone,may,fri,114,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
40698,27,management,single,university.degree,no,no,no,cellular,sep,mon,303,2,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
22197,32,technician,single,university.degree,no,yes,no,cellular,aug,thu,588,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
7557,37,blue-collar,married,high.school,no,no,no,telephone,may,fri,1236,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,yes
27188,29,entrepreneur,single,basic.4y,no,no,no,cellular,nov,fri,100,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
9506,36,technician,married,university.degree,no,yes,no,telephone,jun,mon,196,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
19331,51,technician,married,professional.course,unknown,yes,no,cellular,aug,wed,365,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
8841,59,technician,married,unknown,unknown,unknown,unknown,telephone,jun,thu,247,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
7453,32,blue-collar,married,professional.course,no,no,no,telephone,may,fri,278,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
11905,37,management,married,university.degree,unknown,no,no,telephone,jun,fri,10,23,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
7337,34,entrepreneur,married,basic.4y,no,yes,no,telephone,may,fri,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
16604,29,technician,single,university.degree,no,no,no,cellular,jul,wed,259,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
10579,32,unemployed,single,high.school,unknown,no,no,telephone,jun,tue,34,11,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
2474,46,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,565,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
2598,46,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,566,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
28760,53,services,divorced,high.school,unknown,yes,no,cellular,apr,thu,198,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
23463,44,technician,married,professional.course,no,yes,no,cellular,aug,wed,27,9,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
496,32,admin.,single,university.degree,unknown,unknown,unknown,telephone,may,tue,49,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
2310,56,technician,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
6202,29,admin.,married,high.school,no,yes,no,telephone,may,tue,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
7257,42,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,384,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
18401,39,technician,married,high.school,no,no,no,cellular,jul,thu,232,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
7498,41,admin.,divorced,high.school,no,yes,no,telephone,may,fri,109,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
1568,35,admin.,married,university.degree,no,yes,no,telephone,may,thu,379,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
38868,66,retired,married,basic.4y,no,yes,no,cellular,nov,mon,175,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes
12395,29,unemployed,divorced,university.degree,no,yes,no,cellular,jul,mon,148,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
23859,33,admin.,married,university.degree,unknown,no,no,cellular,aug,fri,96,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
6481,46,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,wed,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
1718,32,blue-collar,married,high.school,unknown,yes,no,telephone,may,fri,109,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
16250,27,services,single,high.school,no,yes,no,cellular,jul,tue,236,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
15561,36,housemaid,single,basic.4y,unknown,no,no,cellular,jul,fri,184,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
781,30,services,married,high.school,unknown,no,no,telephone,may,wed,629,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
32557,26,blue-collar,married,basic.6y,no,no,no,cellular,may,mon,84,7,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
21442,32,self-employed,single,professional.course,no,unknown,unknown,cellular,aug,tue,151,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
29062,32,admin.,married,high.school,no,yes,yes,cellular,apr,fri,218,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
20018,41,technician,divorced,university.degree,no,yes,yes,cellular,aug,fri,89,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
18687,25,admin.,single,basic.9y,no,yes,no,cellular,jul,thu,14,28,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
13171,24,services,single,professional.course,no,yes,no,cellular,jul,wed,80,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
25151,49,admin.,married,university.degree,no,no,no,cellular,nov,tue,163,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
21019,35,management,married,high.school,no,yes,no,cellular,aug,thu,448,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
252,40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
13918,30,admin.,single,university.degree,no,no,no,cellular,jul,fri,98,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
28475,34,admin.,single,university.degree,no,yes,yes,cellular,apr,tue,441,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
8261,37,self-employed,married,basic.9y,unknown,yes,no,telephone,jun,tue,106,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
11173,30,admin.,married,high.school,no,no,no,telephone,jun,thu,66,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
13284,44,admin.,married,high.school,no,yes,no,cellular,jul,wed,97,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
874,40,blue-collar,married,high.school,no,yes,no,telephone,may,wed,285,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
35774,30,technician,single,university.degree,no,yes,no,cellular,may,mon,663,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
5360,51,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,304,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40098,62,technician,married,unknown,no,no,yes,cellular,jul,mon,123,2,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,no
38066,30,self-employed,married,university.degree,no,yes,no,telephone,sep,mon,103,2,999,0,nonexistent,-3.4,92.379,-29.8,0.771,5017.5,no
821,27,admin.,single,basic.9y,no,yes,no,telephone,may,wed,105,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
8195,35,technician,married,university.degree,unknown,no,no,telephone,jun,tue,194,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
15784,39,admin.,married,university.degree,no,no,no,telephone,jul,mon,733,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
35590,30,services,married,university.degree,no,unknown,unknown,cellular,may,mon,132,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
6968,30,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,thu,578,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
15035,35,blue-collar,single,high.school,unknown,no,no,cellular,jul,thu,117,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
14026,28,housemaid,married,high.school,no,no,no,cellular,jul,fri,271,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
18419,28,services,married,high.school,no,unknown,unknown,cellular,jul,thu,81,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
5404,35,entrepreneur,married,high.school,no,no,no,telephone,may,fri,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
18922,46,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon,68,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
15613,39,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,mon,123,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38608,36,self-employed,single,university.degree,no,yes,no,cellular,nov,mon,69,4,999,1,failure,-3.4,92.649,-30.1,0.722,5017.5,no
17161,51,blue-collar,married,basic.4y,no,no,no,cellular,jul,fri,46,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34335,44,admin.,married,basic.9y,unknown,yes,yes,cellular,may,thu,414,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
32372,33,admin.,married,university.degree,no,no,no,cellular,may,fri,89,6,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
24937,47,services,married,high.school,no,yes,no,cellular,nov,tue,99,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
30569,30,technician,single,professional.course,no,no,no,cellular,may,mon,79,4,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,no
25819,35,blue-collar,single,high.school,no,no,no,cellular,nov,wed,77,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
5827,36,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,98,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
12752,30,services,married,high.school,no,yes,no,cellular,jul,tue,24,26,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
4196,46,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,105,11,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
16692,24,services,single,high.school,no,no,no,cellular,jul,wed,74,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
27785,33,technician,married,university.degree,no,yes,no,cellular,mar,tue,56,2,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,no
10903,42,admin.,divorced,university.degree,no,yes,no,telephone,jun,wed,163,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
15885,33,admin.,single,university.degree,no,yes,no,cellular,jul,mon,366,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36238,36,unemployed,single,university.degree,no,yes,no,cellular,jun,mon,205,1,4,1,success,-2.9,92.963,-40.8,1.266,5076.2,yes
16614,29,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,125,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
19377,36,self-employed,married,basic.4y,unknown,yes,no,cellular,aug,wed,175,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
22054,31,technician,single,university.degree,no,no,no,cellular,aug,wed,559,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
30124,53,admin.,single,high.school,no,yes,yes,telephone,apr,wed,75,3,999,0,nonexistent,-1.8,93.075,-47.1,1.372,5099.1,no
38068,39,admin.,married,high.school,no,no,no,cellular,sep,mon,85,2,999,0,nonexistent,-3.4,92.379,-29.8,0.771,5017.5,no
23486,33,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,66,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
29231,28,admin.,single,university.degree,no,no,no,cellular,apr,fri,69,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
40074,37,admin.,married,high.school,no,yes,no,cellular,jul,thu,230,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,no
17523,49,technician,single,university.degree,unknown,no,no,telephone,jul,mon,97,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
4506,42,blue-collar,married,basic.6y,no,yes,yes,telephone,may,tue,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
14710,48,blue-collar,married,basic.9y,no,yes,no,cellular,jul,tue,97,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
6787,28,admin.,single,university.degree,unknown,no,yes,telephone,may,wed,74,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33753,36,services,married,basic.9y,no,no,no,cellular,may,wed,61,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
38794,28,admin.,single,university.degree,no,yes,no,cellular,nov,thu,189,2,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,no
6779,43,technician,single,professional.course,no,yes,no,telephone,may,wed,207,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10746,57,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue,332,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
11497,42,unemployed,married,high.school,unknown,no,no,telephone,jun,fri,89,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
13488,40,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,214,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
22123,51,technician,married,professional.course,no,yes,yes,cellular,aug,thu,246,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
7829,35,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,144,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
15178,29,blue-collar,single,high.school,no,no,no,cellular,jul,thu,353,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
24443,34,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,54,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
3680,40,blue-collar,married,basic.6y,unknown,no,no,telephone,may,fri,33,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
7995,43,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,91,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32663,36,admin.,married,university.degree,no,no,no,cellular,may,mon,112,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
13689,30,entrepreneur,single,university.degree,no,no,no,cellular,jul,thu,361,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
20148,33,admin.,married,university.degree,no,no,no,cellular,aug,mon,135,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
26378,32,admin.,married,professional.course,no,yes,no,cellular,nov,thu,88,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
17050,60,retired,married,high.school,unknown,no,no,telephone,jul,fri,133,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39951,69,retired,divorced,professional.course,no,yes,no,telephone,jun,fri,359,5,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,no
18629,36,admin.,married,university.degree,no,no,no,cellular,jul,thu,1739,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
21420,56,retired,married,university.degree,no,no,no,cellular,aug,tue,331,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
40220,82,housemaid,divorced,basic.4y,no,no,no,cellular,jul,wed,316,1,999,0,nonexistent,-1.7,94.215,-40.3,0.881,4991.6,yes
30570,57,self-employed,married,university.degree,no,yes,no,cellular,may,mon,949,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
12899,28,services,married,high.school,no,no,no,cellular,jul,tue,413,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34947,25,blue-collar,single,basic.9y,no,no,no,cellular,may,fri,72,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
39032,56,retired,married,basic.4y,no,no,no,cellular,dec,thu,582,4,999,0,nonexistent,-3,92.713,-33,0.714,5023.5,yes
5824,52,technician,married,professional.course,no,no,no,telephone,may,mon,160,11,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
6982,44,admin.,married,university.degree,no,yes,no,telephone,may,thu,413,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
4562,32,entrepreneur,married,basic.6y,no,no,no,telephone,may,tue,465,8,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
37399,26,student,single,basic.9y,no,yes,no,cellular,aug,wed,582,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
28587,32,admin.,single,high.school,no,yes,yes,cellular,apr,wed,120,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
4031,51,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,387,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
2521,29,blue-collar,married,basic.6y,no,no,yes,telephone,may,tue,60,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
20628,45,blue-collar,married,high.school,unknown,yes,no,cellular,aug,wed,969,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
35583,58,self-employed,married,university.degree,no,yes,no,cellular,may,mon,379,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
3344,51,admin.,married,high.school,no,unknown,unknown,telephone,may,thu,89,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
1931,33,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,232,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37088,27,management,single,university.degree,no,yes,no,cellular,jul,mon,125,2,999,0,nonexistent,-2.9,92.469,-33.6,0.944,5076.2,yes
19072,45,technician,married,professional.course,unknown,yes,no,cellular,aug,tue,183,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
27451,50,blue-collar,married,unknown,no,no,no,telephone,nov,fri,20,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
5151,46,admin.,married,university.degree,no,yes,no,telephone,may,fri,28,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
17210,59,retired,divorced,university.degree,no,no,no,telephone,jul,fri,87,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
21500,31,technician,married,professional.course,no,no,no,telephone,aug,tue,225,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
316,40,management,married,university.degree,unknown,yes,no,telephone,may,mon,358,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
12933,32,admin.,single,university.degree,no,no,no,cellular,jul,tue,1027,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30071,26,student,single,high.school,no,yes,no,cellular,apr,thu,116,4,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,yes
20982,39,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,78,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
16047,33,services,single,high.school,no,yes,no,cellular,jul,tue,714,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
9463,36,blue-collar,single,high.school,no,yes,no,telephone,jun,fri,61,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
28784,45,blue-collar,married,basic.4y,no,no,no,cellular,apr,thu,257,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
27710,28,technician,single,university.degree,no,yes,no,cellular,mar,mon,120,3,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,yes
18000,47,housemaid,married,basic.4y,unknown,no,no,cellular,jul,wed,189,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30500,27,management,single,university.degree,no,no,no,cellular,may,mon,52,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
4594,46,housemaid,married,basic.9y,no,no,no,telephone,may,tue,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
29895,57,technician,married,university.degree,no,no,no,cellular,apr,mon,72,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
28891,29,admin.,married,university.degree,no,yes,no,cellular,apr,fri,430,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
8043,47,housemaid,married,professional.course,no,yes,yes,telephone,jun,mon,132,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
23501,31,admin.,single,university.degree,no,no,no,cellular,aug,thu,116,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
20559,30,technician,single,professional.course,no,no,no,cellular,aug,tue,216,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
26310,34,management,married,university.degree,no,yes,no,telephone,nov,thu,30,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
40071,39,technician,married,professional.course,no,yes,no,cellular,jul,thu,202,1,999,1,failure,-1.7,94.215,-40.3,0.81,4991.6,no
17472,35,entrepreneur,single,university.degree,no,no,no,cellular,jul,mon,180,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
20407,35,services,married,high.school,no,yes,no,cellular,aug,tue,68,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
3332,32,admin.,married,university.degree,no,no,no,telephone,may,thu,99,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
17711,31,blue-collar,single,professional.course,no,no,yes,telephone,jul,tue,186,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
12149,28,admin.,married,high.school,no,no,no,telephone,jul,tue,249,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
20457,36,technician,single,university.degree,unknown,no,no,cellular,aug,tue,73,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20044,31,management,single,university.degree,no,yes,no,cellular,aug,mon,72,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
14134,33,entrepreneur,married,university.degree,no,no,no,cellular,jul,mon,611,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
15988,31,blue-collar,single,high.school,no,no,no,cellular,jul,tue,78,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
34616,26,admin.,single,high.school,no,yes,no,cellular,may,thu,685,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
6526,34,blue-collar,single,university.degree,no,yes,yes,telephone,may,wed,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
26179,53,blue-collar,divorced,basic.6y,no,yes,no,cellular,nov,wed,635,6,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
13450,45,technician,married,professional.course,no,no,no,telephone,jul,wed,20,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35497,47,management,married,high.school,no,no,no,cellular,may,mon,57,1,9,2,failure,-1.8,92.893,-46.2,1.244,5099.1,no
27537,37,self-employed,married,university.degree,no,no,no,cellular,nov,fri,169,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
12141,25,services,married,high.school,no,yes,no,telephone,jul,tue,479,9,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,yes
23727,31,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,95,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
2022,55,admin.,married,high.school,no,yes,yes,telephone,may,mon,62,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38971,64,admin.,married,university.degree,no,no,yes,cellular,dec,thu,1804,3,999,0,nonexistent,-3,92.713,-33,0.72,5023.5,no
6204,39,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,240,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
126,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
9215,32,unemployed,single,high.school,unknown,yes,no,telephone,jun,fri,219,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
16168,49,admin.,single,high.school,no,yes,no,cellular,jul,tue,1281,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
2732,57,blue-collar,divorced,professional.course,no,no,no,telephone,may,wed,106,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
17011,45,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,367,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
29939,39,admin.,single,university.degree,unknown,yes,no,cellular,apr,mon,372,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
19271,50,admin.,divorced,high.school,unknown,no,yes,cellular,aug,wed,359,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
5544,42,admin.,divorced,university.degree,no,yes,no,telephone,may,mon,130,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
11091,58,entrepreneur,married,basic.4y,no,no,no,telephone,jun,thu,147,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
32726,31,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,106,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
3397,51,management,married,university.degree,unknown,no,yes,telephone,may,thu,1156,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,yes
14133,33,admin.,married,university.degree,no,no,no,cellular,jul,mon,158,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38687,54,admin.,married,university.degree,no,yes,no,cellular,nov,fri,455,2,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,yes
